"area_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","smoothness_se","concavity_se","concave.points_se","symmetry_se","fractal_dimension_se","texture_worst","smoothness_worst","compactness_worst","symmetry_worst","fractal_dimension_worst"
428,0.1533,0.06057,0.2222,0.8652,0.005517,0.02045,0.006747,0.01616,0.002922,24.99,0.128,0.188,0.2535,0.07993
580.6,0.1792,0.05897,0.1402,0.5417,0.005212,0.02443,0.008356,0.01818,0.004868,19.64,0.1275,0.3104,0.3387,0.09638
403.5,0.1388,0.0657,0.2388,2.904,0.0082,0.05738,0.01267,0.01488,0.004738,37.16,0.1298,0.2517,0.2112,0.08732
492.1,0.1638,0.061,0.1807,0.6931,0.006064,0.006564,0.007978,0.01374,0.001392,17.48,0.1298,0.1472,0.2369,0.06922
585.9,0.1405,0.05848,0.3563,0.4833,0.006432,0.007741,0.005657,0.01227,0.002564,17.5,0.1072,0.1071,0.1859,0.0681
600.4,0.1537,0.06171,0.3645,1.492,0.007256,0.02071,0.01626,0.0208,0.005304,33.17,0.1241,0.2264,0.225,0.08321
998.9,0.1538,0.0551,0.4212,1.433,0.005444,0.01622,0.008522,0.01419,0.002751,34.69,0.1315,0.1806,0.2504,0.07948
813.7,0.1948,0.06277,0.4375,1.232,0.006697,0.03248,0.01392,0.01536,0.002789,30.38,0.159,0.2947,0.3103,0.082
928.2,0.1813,0.05613,0.3093,0.8568,0.004757,0.02332,0.01262,0.01394,0.002362,25.09,0.1416,0.2405,0.3138,0.08113
289.7,0.2538,0.07029,0.6965,1.747,0.01307,0.006021,0.01052,0.031,0.004225,23.17,0.1398,0.1352,0.3196,0.08009
466.5,0.1544,0.05976,0.2239,1.139,0.005096,0.00941,0.004551,0.01608,0.002399,31.99,0.1256,0.1804,0.31,0.08203
1194,0.2082,0.05715,0.6226,2.284,0.004756,0.04345,0.01806,0.03756,0.003288,34.66,0.1218,0.3458,0.4045,0.07918
1094,0.1697,0.05699,0.8529,1.849,0.01075,0.05081,0.01911,0.02293,0.004217,27.26,0.1338,0.2117,0.2341,0.07421
657.1,0.1454,0.06147,0.2254,1.108,0.004242,0.06578,0.01606,0.01638,0.004406,27.27,0.1026,0.3171,0.2258,0.08004
951.6,0.1506,0.05491,0.3971,0.8282,0.00609,0.02713,0.01345,0.01594,0.002658,25.84,0.1381,0.342,0.2928,0.07867
519.4,0.254,0.06087,0.4202,1.322,0.007017,0.01949,0.01153,0.02951,0.001533,24.11,0.1297,0.1105,0.3196,0.06435
929.4,0.1927,0.06487,0.5907,1.041,0.00582,0.04252,0.01127,0.01527,0.006299,33.82,0.1585,0.7394,0.3313,0.1339
599.4,0.1813,0.05536,0.1555,0.5762,0.003308,0.009904,0.004832,0.01316,0.002095,21.8,0.09384,0.2006,0.2679,0.07698
526.4,0.1395,0.05234,0.1731,1.142,0.003418,0.001595,0.001852,0.01613,0.0009683,29.02,0.08125,0.03432,0.2295,0.05843
984.6,0.1538,0.06365,1.088,1.41,0.006174,0.04644,0.01569,0.01145,0.00512,32.33,0.1376,0.383,0.216,0.093
561,0.1635,0.05859,0.338,1.916,0.005436,0.03099,0.009919,0.0203,0.003009,30.04,0.1005,0.173,0.2446,0.07024
445.2,0.1657,0.06608,0.2513,0.504,0.007327,0.01798,0.007986,0.01962,0.002234,15.77,0.1521,0.1632,0.2781,0.08052
981.6,0.1713,0.05916,0.3897,1.077,0.004714,0.03697,0.0111,0.01237,0.002556,38.54,0.1401,0.3762,0.2972,0.09075
477.3,0.1472,0.05561,0.3778,2.2,0.007357,0.009959,0.0112,0.03433,0.002961,20.21,0.08409,0.04712,0.1901,0.05932
448.6,0.159,0.05907,0.1822,0.7285,0.005528,0.008342,0.006273,0.01465,0.00253,18.41,0.1275,0.1232,0.2514,0.07898
363.7,0.1449,0.06031,0.1753,1.027,0.003478,0.01072,0.009393,0.02941,0.003428,14.82,0.09312,0.07506,0.2143,0.06643
347,0.1897,0.06329,0.2497,1.493,0.007189,0.01081,0.006245,0.02158,0.002619,35.19,0.1499,0.1398,0.3409,0.08147
1245,0.2906,0.08142,0.9317,1.885,0.01038,0.1091,0.02593,0.07895,0.005987,31.72,0.1639,0.6164,0.544,0.09964
435.6,0.2015,0.05875,0.6412,2.293,0.01418,0.01267,0.0191,0.02678,0.003002,18.99,0.1359,0.08368,0.222,0.06033
463.7,0.1667,0.05474,0.2382,0.8355,0.005996,0.02117,0.006433,0.02025,0.001725,19.59,0.1096,0.165,0.2482,0.06306
519.8,0.235,0.07389,0.3063,1.002,0.005731,0.03553,0.01226,0.02143,0.003749,30.73,0.1703,0.5401,0.4378,0.1072
858.1,0.159,0.05648,0.4564,1.075,0.005903,0.0473,0.01557,0.01318,0.003892,34.12,0.1139,0.3094,0.2218,0.0782
2250,0.18,0.0577,0.8361,1.481,0.004631,0.03109,0.01241,0.01575,0.002747,32.85,0.1472,0.4034,0.2856,0.08082
1110,0.1943,0.06132,0.8191,1.931,0.008074,0.05321,0.01834,0.02383,0.004515,30.93,0.139,0.3463,0.3007,0.08314
469.1,0.1571,0.05708,0.3833,0.9078,0.007702,0.01307,0.0103,0.0297,0.001432,16.85,0.1048,0.06744,0.2298,0.05974
2010,0.1956,0.06121,0.9948,0.8509,0.006369,0.04266,0.01508,0.02335,0.003385,23.58,0.153,0.5937,0.369,0.08815
441.3,0.182,0.0685,0.2623,1.204,0.00832,0.02334,0.01665,0.02094,0.003674,30.36,0.1311,0.1822,0.2599,0.08251
508.3,0.1574,0.0575,0.3639,1.265,0.005421,0.04545,0.01384,0.01869,0.004067,21.06,0.09534,0.1812,0.1988,0.07053
338.3,0.2188,0.0845,0.1115,1.231,0.008499,0.1535,0.02919,0.01617,0.0122,22.82,0.1143,0.3619,0.2597,0.12
480.1,0.1526,0.06046,0.1532,0.781,0.003796,0.01346,0.007096,0.01536,0.001541,24.34,0.1276,0.2506,0.3035,0.07661
1293,0.1618,0.05557,0.5781,0.9168,0.006208,0.02375,0.01461,0.01445,0.001906,26.37,0.1327,0.2376,0.2609,0.06735
